candidate_id,rank,score,reasoning
CAND_0045250,1,0.834954,"Applied ML Engineer with 6.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 357); India-based (Delhi, Delhi)."
CAND_0077337,2,0.83477,"Staff Machine Learning Engineer with 7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 326); India-based (Kochi, Kerala); actively open to work; high recruiter responsiveness (resp=0.95)."
CAND_0071974,3,0.826554,"Senior AI Engineer with 7.8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.61); very high-trust IR/embedding skills (trust score 379); India-based (Vizag, Andhra Pradesh); actively open to work; high recruiter responsiveness (resp=0.76)."
CAND_0081846,4,0.823503,"Lead AI Engineer with 6.7 yrs experience; career shows ML/data engineering alignment (semantic score 0.60); very high-trust IR/embedding skills (trust score 361); India-based (Jaipur, Rajasthan); actively open to work; high recruiter responsiveness (resp=0.73)."
CAND_0094056,5,0.819419,"NLP Engineer with 5.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 320); India-based (Chennai, Tamil Nadu); 120-day notice period."
CAND_0088025,6,0.811778,"Staff Machine Learning Engineer with 8.6 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.64); very high-trust IR/embedding skills (trust score 308); India-based (Jaipur, Rajasthan); actively open to work; high recruiter responsiveness (resp=0.83)."
CAND_0062247,7,0.810599,"AI Engineer with 7.3 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.71); very high-trust IR/embedding skills (trust score 253); India-based (Kochi, Kerala); actively open to work; high recruiter responsiveness (resp=0.78)."
CAND_0041610,8,0.806268,"Recommendation Systems Engineer with 6.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.66); very high-trust IR/embedding skills (trust score 267); India-based (Indore, Madhya Pradesh); actively open to work; high recruiter responsiveness (resp=0.52)."
CAND_0070398,9,0.803331,"Machine Learning Engineer with 7.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 269); India-based (Kochi, Kerala); actively open to work; 120-day notice period."
CAND_0033861,10,0.803314,"Senior NLP Engineer with 8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.63); very high-trust IR/embedding skills (trust score 349); India-based (Vizag, Andhra Pradesh); low recruiter response rate (0.16)."
CAND_0018499,11,0.801345,"Senior Machine Learning Engineer with 7.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 303); India-based (Noida, Uttar Pradesh); actively open to work; high recruiter responsiveness (resp=0.61)."
CAND_0068811,12,0.800789,"Applied ML Engineer with 8 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.62); very high-trust IR/embedding skills (trust score 271); India-based (Pune, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.42)."
CAND_0042506,13,0.796529,"Search Engineer with 4.2 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 270); India-based (Mumbai, Maharashtra); actively open to work; high recruiter responsiveness (resp=0.48)."
CAND_0007009,14,0.795851,"Recommendation Systems Engineer with 7.9 yrs experience; career shows ML/data engineering alignment (semantic score 0.59); very high-trust IR/embedding skills (trust score 318); India-based (Noida, Uttar Pradesh); actively open to work; high recruiter responsiveness (resp=0.62)."
CAND_0055992,15,0.795582,"AI Engineer with 16.9 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 254); located in Sydney, willing to relocate; actively open to work; high recruiter responsiveness (resp=0.72)."
CAND_0044222,16,0.794109,"AI Engineer with 7.7 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.70); very high-trust IR/embedding skills (trust score 224); India-based (Vizag, Andhra Pradesh); actively open to work; high recruiter responsiveness (resp=0.60)."
CAND_0084819,17,0.791226,"Search Engineer with 4.5 yrs experience; career descriptions closely match retrieval/ranking/recsys JD (semantic score 0.69); very high-trust IR/embedding skills (trust score 329); India-based (Indore, Madhya Pradesh); actively open to work; 120-day notice period."
